Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9760,28,0.9466618905347354,0.97234765,0.9971393543114018,1.0,0.9971393543114018,0.9985676284018826,9760,0,0,28
T1,2476,2473,3,0.9776058619184139,0.9905618249999999,0.9987883683360258,1.0,0.9987883683360258,0.9993938169327136,2473,0,0,3
T2,1857,1850,7,0.9707761549132992,0.98236275,0.996230479267636,1.0,0.996230479267636,0.9981116806042623,1850,0,0,7
T3,2476,2473,3,0.963015279050889,0.9782184,0.9987883683360258,1.0,0.9987883683360258,0.9993938169327136,2473,0,0,3
T4,2979,2964,15,0.8923186706411563,0.90577435,0.9949647532729103,1.0,0.9949647532729103,0.9974760222110046,2964,0,0,15
T1 - Identical Clone,619,619,0,0.9993932740387766,0.9999991,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,617,2,0.9570908595638128,0.9779818,0.9967689822294022,1.0,0.9967689822294022,0.9983818770226538,617,0,0,2
T1 - Different Comments,619,618,1,0.9769201254604204,0.9892198,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T1 - Different Formatting,619,619,0,0.9770191886106623,0.98838925,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,617,2,0.9682838976155095,0.9777522,0.9967689822294022,1.0,0.9967689822294022,0.9983818770226538,617,0,0,2
T2 - Different Data Types,619,617,2,0.9675646498869154,0.9816692,0.9967689822294022,1.0,0.9967689822294022,0.9983818770226538,617,0,0,2
T2 - Different Function Names,619,616,3,0.9764799172374807,0.9886067,0.9951534733441034,1.0,0.9951534733441034,0.9975708502024292,616,0,0,3
T3 - Added Statements,619,619,0,0.9641553094830383,0.97683686,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Removed Statements,619,617,2,0.9581667635056549,0.976347,0.9967689822294022,1.0,0.9967689822294022,0.9983818770226538,617,0,0,2
T3 - Reordered Statements,619,618,1,0.9707269259612289,0.98561037,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T3 - Control Flow Modifications,619,619,0,0.959012117253635,0.97398597,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Same Language,619,617,2,0.9469102439095324,0.96294576,0.9967689822294022,1.0,0.9967689822294022,0.9983818770226538,617,0,0,2
T4 - Different Language,2360,2347,13,0.8779999486694925,0.896497625,0.9944915254237288,1.0,0.9944915254237288,0.9972381559379647,2347,0,0,13
Domain - Puzzles and Games,1166,1161,5,0.948885202753003,0.97210902,0.9957118353344768,1.0,0.9957118353344768,0.9978513107004727,1161,0,0,5
Domain - Mathematics,3649,3647,2,0.9543855864483419,0.9747722,0.9994519046314059,1.0,0.9994519046314059,0.9997258771929824,3647,0,0,2
Domain - Text Processing,489,489,0,0.9474241951533741,0.97888786,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1486,17,0.9261977846400523,0.96057105,0.9886892880904857,1.0,0.9886892880904857,0.9943124790899968,1486,0,0,17
Domain - Algorithms and Data Structures,1052,1051,1,0.9505673825570357,0.97523275,0.9990494296577946,1.0,0.9990494296577946,0.9995244888254874,1051,0,0,1
Domain - Networking and Web Development,210,210,0,0.9486412036666665,0.96392977,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.9559749860439556,0.9755124,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.9573929930927847,0.9769865,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,475,3,0.9228905711297077,0.9536858699999999,0.9937238493723849,1.0,0.9937238493723849,0.9968520461699895,475,0,0,3
Domain - Bioinformatics,32,32,0,0.953357155,0.98951502,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9500222931050226,0.96632934,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.9488837042500003,0.9586017,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,65,0,0.9161651963076923,0.9278007,1.0,1.0,1.0,1.0,65,0,0,0
Domain - Operating Systems and Shell Programming,110,110,0,0.9409042218181818,0.96730378,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.9334162018749997,0.9698906549999999,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9695692313043479,0.9846991,1.0,1.0,1.0,1.0,46,0,0,0
