Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9778,10,0.9618780831834942,0.98682012,0.9989783408255006,1.0,0.9989783408255006,0.9994889093325156,9778,0,0,10
T1,2476,2475,1,0.9783430077665565,0.997477325,0.9995961227786753,1.0,0.9995961227786753,0.9997980206018987,2475,0,0,1
T2,1857,1856,1,0.9848512315724298,0.9941275,0.9994614970382337,1.0,0.9994614970382337,0.9997306760032318,1856,0,0,1
T3,2476,2472,4,0.978046705658319,0.9921822499999999,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,2472,0,0,4
T4,2979,2975,4,0.9204340418697542,0.94153535,0.9986572675394427,1.0,0.9986572675394427,0.9993281827342962,2975,0,0,4
T1 - Identical Clone,619,619,0,0.9999095554119533,0.99999994,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,619,0,0.9426887077382866,0.9660437,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Comments,619,618,1,0.9882295977059762,0.9974443,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T1 - Different Formatting,619,619,0,0.9825441702100158,0.9957493,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,619,0,0.9830363550080762,0.99153405,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Data Types,619,618,1,0.9825167538125998,0.99453133,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T2 - Different Function Names,619,619,0,0.9890005858966069,0.9966311,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Added Statements,619,618,1,0.9772767638126003,0.99059415,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T3 - Removed Statements,619,618,1,0.9763116223586437,0.9909233,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T3 - Reordered Statements,619,618,1,0.9845790411631663,0.99717146,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T3 - Control Flow Modifications,619,618,1,0.9740193952988698,0.98872733,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T4 - Same Language,619,618,1,0.9654598609208401,0.9830103,0.9983844911147012,1.0,0.9983844911147012,0.9991915925626517,618,0,0,1
T4 - Different Language,2360,2357,3,0.908624303737287,0.930681535,0.9987288135593221,1.0,0.9987288135593221,0.9993640025439899,2357,0,0,3
Domain - Puzzles and Games,1166,1165,1,0.9627415797512863,0.98897348,0.9991423670668954,1.0,0.9991423670668954,0.9995709995709995,1165,0,0,1
Domain - Mathematics,3649,3649,0,0.9647084368731139,0.98868823,1.0,1.0,1.0,1.0,3649,0,0,0
Domain - Text Processing,489,489,0,0.9590062100000009,0.9888098,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1502,1,0.9538058392481708,0.974445,0.9993346640053227,1.0,0.9993346640053227,0.9996672212978369,1502,0,0,1
Domain - Algorithms and Data Structures,1052,1052,0,0.9644404669106459,0.98596695,1.0,1.0,1.0,1.0,1052,0,0,0
Domain - Networking and Web Development,210,210,0,0.961183018095239,0.9852112500000001,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.97791726967033,0.9923759,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.9703554044329894,0.99050525,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,477,1,0.9499254752092048,0.9773737,0.997907949790795,1.0,0.997907949790795,0.9989528795811519,477,0,0,1
Domain - Bioinformatics,32,32,0,0.9848055028124999,0.995097815,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9668124624657541,0.99271214,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.9690754722499999,0.97895495,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,58,7,0.8939365281538463,0.95671856,0.8923076923076924,1.0,0.8923076923076924,0.9430894308943091,58,0,0,7
Domain - Operating Systems and Shell Programming,110,110,0,0.9616447097272726,0.977858245,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.9689322981250001,0.9714565500000001,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9816901217391307,0.995963825,1.0,1.0,1.0,1.0,46,0,0,0
